date,t_mean,t_max,ghi,north,east,south,west
2025-03-08,25.450000,30.040000,5.854600,1.828705,3.526757,3.750099,2.456962
2025-03-09,23.840000,26.760000,4.667500,2.077023,2.158378,2.661783,2.628784
2025-03-10,24.350000,28.240000,4.261400,1.893187,1.921725,2.416529,2.553839
2025-03-11,25.900000,31.530000,4.237400,1.687256,1.733201,2.428903,2.245662
2025-03-12,23.850000,28.060000,5.025400,1.770923,1.972609,2.956709,2.976659
2025-03-13,22.130000,24.350000,5.092600,1.883388,2.033840,2.885545,2.629960
2025-03-14,21.940000,24.810000,6.296900,1.901527,3.097107,3.749161,3.402891
2025-03-15,23.010000,26.930000,6.350200,1.807849,3.094201,3.795326,3.433535
2025-03-16,24.100000,29.260000,5.787400,2.027980,3.488504,3.504486,2.692140
2025-03-17,22.850000,25.100000,4.790600,1.812750,1.902459,2.655370,2.867467
2025-03-18,23.400000,26.330000,6.324200,1.852846,3.102000,3.581960,3.214066
2025-03-19,23.550000,27.480000,6.409200,1.825262,3.246769,3.604743,3.241058
2025-03-20,25.420000,31.430000,6.961700,1.598779,3.427913,3.911191,3.905017
2025-03-21,28.080000,33.820000,6.408000,1.835406,3.628513,3.578384,3.038676
2025-03-22,27.450000,33.290000,6.075400,2.116886,2.929108,3.292597,3.131126
2025-03-23,25.240000,28.620000,4.543000,1.841560,2.050861,2.440782,2.329263
2025-03-24,22.590000,25.160000,5.076700,2.169793,2.390780,2.626052,2.366933
2025-03-25,21.240000,23.120000,5.795300,2.402888,2.753113,3.014226,2.838799
2025-03-26,21.560000,23.730000,6.467800,2.212151,2.965005,3.358302,3.341544
2025-03-27,22.500000,26.010000,6.857000,1.801726,3.706951,3.516541,3.411594
2025-03-28,23.880000,28.090000,5.655600,2.178313,2.728621,3.035633,3.048943
2025-03-29,24.490000,29.220000,6.490300,2.047548,2.951322,3.261270,3.430020
2025-03-30,25.760000,31.540000,6.701300,1.986762,3.177174,3.307825,3.479392
2025-03-31,26.890000,32.180000,6.847700,1.951108,3.390196,3.355596,3.433069
2025-04-01,26.340000,31.220000,6.912500,1.772768,3.302795,3.297927,3.621787
2025-04-02,26.020000,29.900000,6.927100,1.838029,3.462260,3.270553,3.513567
2025-04-03,27.490000,33.190000,6.801400,1.920248,3.316151,3.205492,3.355504
2025-04-04,30.610000,36.830000,6.817700,1.962105,3.293083,3.149863,3.508261
2025-04-05,29.850000,35.150000,6.877200,1.975452,3.609484,3.164487,3.407715
2025-04-06,29.760000,35.960000,6.803800,1.922619,3.649348,3.111264,3.338597
2025-04-07,28.780000,34.430000,6.533500,2.187206,3.299624,3.114785,3.411568
2025-04-08,27.070000,30.510000,6.405800,2.122964,3.414496,2.948165,2.786116
2025-04-09,26.300000,29.840000,7.162600,1.986121,3.843451,3.098769,3.593720
2025-04-10,26.590000,31.090000,7.249000,2.003908,3.530516,3.104193,3.795743
2025-04-11,28.440000,32.100000,6.834700,2.294429,3.496198,3.105954,3.460226
2025-04-12,30.730000,36.360000,6.859900,2.171856,3.374929,2.993179,3.503751
2025-04-13,30.090000,36.720000,6.859400,2.230354,3.385023,2.967192,3.508434
2025-04-14,30.240000,37.110000,6.571700,2.251919,3.328964,2.945918,3.101838
2025-04-15,28.630000,31.630000,5.879800,2.287567,2.672701,2.756658,3.076933
2025-04-16,27.250000,30.320000,6.266400,2.510983,3.090561,2.929623,2.909055
2025-04-17,26.230000,28.450000,6.334600,2.549826,3.411033,2.882343,2.846260
2025-04-18,25.350000,27.040000,6.354500,2.556582,3.124624,2.927479,3.084537
2025-04-19,25.560000,27.900000,6.400800,2.388156,3.082178,2.810595,3.056839
2025-04-20,25.820000,28.620000,6.839800,2.357735,3.437243,2.869809,3.346280
2025-04-21,27.640000,31.770000,7.273000,2.122878,3.490642,2.759593,3.781738
2025-04-22,29.760000,33.560000,6.675800,2.474014,3.260523,2.882313,3.332446
2025-04-23,29.580000,33.380000,6.501800,2.418152,3.099898,2.792676,3.348644
2025-04-24,27.730000,31.360000,7.116500,2.348277,3.434311,2.795663,3.697436
2025-04-25,28.990000,35.320000,7.063700,2.286084,3.463404,2.762761,3.532720
2025-04-26,33.270000,38.930000,5.863400,2.654184,3.307764,2.846255,2.926020
2025-04-27,32.400000,38.230000,5.958000,2.491719,3.027114,2.702803,3.043708
2025-04-28,32.060000,38.650000,7.074000,2.393013,3.270312,2.737692,3.723590
2025-04-29,31.990000,39.100000,7.201400,2.383501,3.678460,2.697451,3.599457
2025-04-30,31.920000,37.810000,7.177400,2.296382,3.356565,2.605625,3.773039
2025-05-01,30.580000,34.390000,7.167800,2.270076,3.391396,2.554568,3.765461
2025-05-02,31.070000,34.660000,7.140200,2.329696,3.387144,2.578846,3.683165
2025-05-03,31.640000,35.850000,6.959500,2.244982,3.447983,2.487091,3.458042
2025-05-04,32.880000,37.350000,6.820800,2.339505,3.533507,2.534540,3.282209
2025-05-05,32.610000,37.410000,6.939600,2.323887,3.338341,2.486746,3.636023
2025-05-06,31.260000,34.050000,6.224200,2.431444,3.418999,2.549831,2.638510
2025-05-07,28.840000,31.100000,6.449800,2.566194,3.033151,2.694184,2.980864
2025-05-08,28.480000,31.040000,7.039200,2.692550,3.476061,2.775160,3.517519
2025-05-09,28.370000,31.300000,7.322400,2.549992,3.483240,2.626818,3.802534
2025-05-10,28.810000,32.130000,7.254700,2.465620,3.874163,2.504767,3.381670
2025-05-11,30.120000,33.970000,6.929300,2.507474,3.247143,2.578188,3.414497
2025-05-12,31.850000,37.540000,7.040900,2.544387,3.286453,2.606815,3.479984
2025-05-13,33.350000,38.950000,7.439300,2.621215,3.755706,2.605418,3.756961
2025-05-14,33.710000,39.440000,7.271000,2.607289,3.688061,2.584410,3.584028
2025-05-15,31.930000,36.150000,7.173400,2.602317,3.650048,2.564313,3.458623
2025-05-16,31.000000,35.570000,7.273400,2.579141,3.479544,2.535521,3.680533
2025-05-17,30.060000,33.110000,6.852700,2.687013,3.432903,2.668042,3.214301
2025-05-18,29.920000,33.660000,6.782900,2.628576,3.090394,2.623224,3.402859
2025-05-19,30.080000,33.580000,6.044600,2.505133,3.004548,2.505533,3.007980
2025-05-20,30.730000,33.970000,6.727700,2.593139,3.134223,2.551490,3.339757
2025-05-21,31.350000,35.480000,6.917300,2.609185,3.316228,2.556387,3.311631
2025-05-22,32.900000,36.340000,7.100200,2.652550,3.349356,2.537074,3.596497
2025-05-23,33.350000,40.120000,7.191400,2.629094,3.343216,2.495441,3.583021
2025-05-24,33.720000,40.070000,7.103000,2.664214,3.370674,2.511457,3.639649
2025-05-25,32.980000,37.790000,7.052200,2.616785,3.299779,2.475383,3.565600
2025-05-26,33.140000,38.160000,6.721200,2.618667,3.315738,2.523460,3.167516
2025-05-27,31.930000,35.240000,7.283800,2.636882,3.460938,2.459768,3.551125
2025-05-28,31.090000,34.540000,6.711600,2.625651,3.260823,2.521995,3.174049
2025-05-29,32.420000,36.630000,7.030800,2.690400,3.367195,2.533851,3.442735
2025-05-30,32.640000,36.840000,7.011600,2.606555,3.174314,2.413503,3.573513
2025-05-31,31.910000,35.950000,6.868100,2.729151,3.461084,2.598602,3.116729
2025-06-01,31.380000,34.390000,7.517300,2.752657,3.572312,2.481890,3.682379
2025-06-02,31.500000,34.640000,7.167400,2.733740,3.116860,2.500325,3.797101
2025-06-03,31.160000,33.890000,7.340400,2.756441,3.356690,2.548067,3.581529
2025-06-04,30.740000,33.550000,7.273000,2.832853,3.380919,2.640418,3.553918
2025-06-05,30.680000,33.810000,7.596500,2.858929,3.440692,2.551942,3.946586
2025-06-06,31.000000,34.470000,7.726600,2.848027,3.762842,2.433623,3.891155
2025-06-07,30.780000,34.390000,7.252600,2.805267,3.823268,2.501160,3.305590
2025-06-08,31.540000,35.250000,7.163000,2.736193,3.224339,2.490096,3.570479
2025-06-09,32.740000,37.610000,7.241800,2.749131,3.492804,2.467699,3.454581
2025-06-10,33.950000,39.460000,7.411400,2.769932,3.598385,2.406961,3.610051
2025-06-11,33.980000,39.100000,7.377600,2.801605,3.565252,2.446613,3.635808
2025-06-12,33.760000,38.560000,7.298900,2.690598,3.530117,2.332458,3.483305
2025-06-13,33.450000,38.430000,7.176700,2.808332,3.408746,2.502587,3.573833
2025-06-14,33.850000,38.100000,7.358600,2.811253,3.473677,2.434093,3.722699
2025-06-15,33.610000,37.360000,7.309200,2.757987,3.365689,2.378930,3.725586
2025-06-16,33.360000,36.870000,7.229000,2.805702,3.376718,2.415743,3.752129
2025-06-17,33.520000,37.910000,7.314200,2.803194,3.487119,2.455335,3.585126
2025-06-18,32.460000,35.580000,7.048100,2.671100,3.153865,2.378528,3.511881
2025-06-19,32.520000,36.530000,7.070200,2.712598,3.041958,2.444372,3.602180
2025-06-20,32.750000,35.760000,7.128500,2.692406,3.216202,2.369368,3.599869
2025-06-21,32.580000,35.570000,6.845500,2.696584,3.288764,2.435568,3.347786
2025-06-22,32.430000,36.040000,6.663100,2.703214,2.978919,2.490328,3.416483
2025-06-23,32.700000,35.750000,6.830400,2.722576,3.219175,2.512684,3.290521
2025-06-24,32.740000,36.130000,7.020500,2.750211,3.227778,2.529501,3.363298
2025-06-25,31.890000,34.780000,6.650400,2.712517,3.057476,2.506269,3.354685
2025-06-26,32.190000,34.920000,6.659000,2.725538,3.254936,2.525614,3.205882
2025-06-27,33.170000,36.320000,5.818300,2.501434,2.869071,2.393883,2.799399
2025-06-28,33.310000,36.050000,5.688500,2.483356,2.862182,2.365308,2.816419
2025-06-29,32.320000,34.860000,5.609500,2.457418,2.668852,2.376615,2.728242
2025-06-30,33.240000,36.130000,6.658300,2.636873,3.247294,2.422530,3.142036
2025-07-01,34.440000,38.460000,6.873100,2.698811,3.201775,2.448524,3.474863
2025-07-02,33.110000,35.620000,6.632200,2.625429,3.266139,2.432658,3.079602
2025-07-03,33.080000,35.430000,6.635000,2.731436,3.247274,2.580813,3.126489
2025-07-04,32.600000,35.240000,6.545000,2.635743,3.060515,2.502418,3.111907
2025-07-05,32.840000,35.090000,6.379700,2.604430,2.964997,2.506889,3.032344
2025-07-06,32.390000,34.450000,6.321600,2.708283,2.960516,2.655222,3.009116
2025-07-07,32.450000,34.950000,6.093400,2.551206,2.631744,2.490636,3.043597
2025-07-08,33.160000,36.280000,6.703000,2.763381,3.100840,2.667484,3.254124
2025-07-09,32.670000,35.450000,6.433000,2.693515,3.072089,2.608545,3.078928
2025-07-10,33.510000,36.250000,6.512600,2.666943,3.159040,2.503607,3.399846
2025-07-11,33.130000,37.530000,6.510500,2.635944,3.256178,2.491712,3.169217
2025-07-12,33.690000,36.790000,6.301700,2.852555,3.541960,2.722754,3.491419
2025-07-13,35.560000,40.600000,6.171800,2.511103,3.063775,2.391641,3.148114
2025-07-14,35.210000,41.270000,6.392400,2.657531,3.130028,2.564760,3.208592
2025-07-15,35.090000,39.310000,6.570500,2.618996,3.076145,2.552734,3.126372
2025-07-16,35.640000,39.620000,6.690700,2.638509,3.175128,2.554482,3.189187
2025-07-17,35.660000,39.760000,6.875300,2.650378,3.239969,2.542663,3.354107
2025-07-18,36.070000,40.360000,6.411400,2.606903,3.065764,2.573175,3.055128
2025-07-19,34.600000,37.930000,6.109700,2.459284,2.799106,2.436634,2.952468
2025-07-20,35.220000,38.720000,6.067700,2.440754,2.811814,2.426289,3.066604
2025-07-21,36.310000,41.550000,6.313900,2.441942,3.031356,2.398395,3.026404
2025-07-22,35.960000,40.790000,6.151400,2.438504,3.040001,2.421874,3.001928
2025-07-23,34.190000,36.800000,5.951500,2.418867,2.933082,2.442535,3.099613
2025-07-24,34.310000,37.370000,6.283000,2.496722,2.995046,2.500460,3.011034
2025-07-25,36.110000,39.770000,6.034800,2.456802,2.883038,2.475869,2.839807
2025-07-26,36.510000,40.750000,6.468200,2.588671,2.987515,2.615778,3.224487
2025-07-27,36.330000,39.990000,6.451000,2.418770,3.115177,2.445844,3.086720
2025-07-28,36.600000,41.470000,6.533800,2.556954,3.131736,2.612371,3.077770
2025-07-29,36.480000,41.450000,6.290400,2.527201,3.094041,2.579472,3.034791
2025-07-30,35.490000,39.290000,6.336000,2.546771,3.220329,2.597518,2.967903
2025-07-31,36.370000,40.750000,5.827000,2.364968,2.690947,2.440032,2.901848
2025-08-01,37.530000,41.860000,6.321800,2.433370,2.899401,2.527361,3.073902
2025-08-02,36.640000,40.880000,6.440600,2.556055,3.058794,2.652768,3.123222
2025-08-03,35.860000,39.240000,6.490300,2.464743,3.102065,2.577540,3.071727
2025-08-04,36.270000,39.630000,6.105100,2.464541,2.939740,2.568583,2.872087
2025-08-05,37.540000,41.040000,6.328300,2.483930,2.957770,2.628844,3.123191
2025-08-06,37.600000,41.350000,6.400600,2.429988,3.015891,2.591826,3.051152
2025-08-07,36.920000,40.100000,5.979600,2.361136,3.071973,2.491797,2.699217
2025-08-08,36.950000,40.560000,6.354200,2.481519,2.942886,2.654041,3.122362
2025-08-09,36.840000,40.050000,6.353500,2.489906,3.004109,2.677647,3.092356
2025-08-10,36.970000,39.870000,5.922700,2.374750,2.895440,2.546742,2.702815
2025-08-11,36.500000,40.510000,6.458200,2.442129,3.011062,2.679913,3.189816
2025-08-12,36.220000,39.830000,6.784600,2.443679,3.158650,2.727049,3.411111
2025-08-13,35.550000,38.480000,6.730300,2.354431,3.234496,2.661889,3.346114
2025-08-14,35.980000,38.110000,6.523700,2.388423,3.106751,2.685858,3.176437
2025-08-15,38.310000,42.610000,5.686300,2.384881,2.952036,2.587350,2.762822
2025-08-16,37.720000,41.150000,5.615300,2.301186,2.619360,2.544912,2.711696
2025-08-17,36.270000,39.260000,5.987500,2.495657,3.039418,2.746002,3.069474
2025-08-18,35.230000,38.300000,5.941900,2.305638,2.927915,2.625169,2.925561
2025-08-19,35.220000,38.030000,5.646200,2.341813,3.215931,2.731228,3.089977
2025-08-20,35.640000,38.040000,5.754000,2.345963,2.668306,2.628842,2.868785
2025-08-21,35.630000,38.110000,5.854600,2.425333,2.914179,2.807985,3.112017
2025-08-22,35.180000,37.920000,5.782300,2.313414,2.854353,2.640725,2.875025
2025-08-23,35.150000,38.310000,6.211400,2.278477,2.924267,2.702880,3.032917
2025-08-24,34.830000,37.660000,6.409000,2.228692,2.904910,2.753558,3.270808
2025-08-25,35.890000,39.720000,5.898200,2.258070,2.884549,2.666822,2.985850
2025-08-26,36.160000,39.470000,5.719900,2.224043,2.896239,2.616866,2.658455
2025-08-27,35.620000,40.370000,6.055400,2.213674,2.847145,2.725879,2.999568
2025-08-28,35.670000,39.510000,6.121400,2.219422,2.989687,2.774103,2.994538
2025-08-29,35.070000,38.510000,6.063100,2.271737,2.971458,2.789106,2.932316
2025-08-30,35.090000,38.570000,5.728600,2.126364,2.882082,2.688699,2.783628
2025-08-31,35.420000,41.150000,5.704100,2.232275,2.680287,2.747960,2.994519
2025-09-01,34.770000,38.680000,5.965700,2.280708,2.756016,2.821119,2.995887
2025-09-02,34.110000,36.540000,6.143800,2.225993,2.996757,2.889154,3.117678
2025-09-03,34.410000,37.650000,6.233300,2.165742,2.955366,2.895400,3.111785
2025-09-04,36.080000,39.810000,5.804900,2.156874,3.021142,2.813381,2.724167
2025-09-05,35.760000,39.130000,5.748500,2.218223,2.708256,2.745686,2.855939
2025-09-06,35.510000,39.440000,5.723000,2.229794,2.761280,2.759807,2.786374
2025-09-07,34.460000,38.030000,5.168600,2.087835,2.588717,2.586769,2.610151
2025-09-08,33.950000,35.850000,5.426600,2.299642,2.724830,2.704603,2.990770
2025-09-09,34.600000,38.240000,6.020600,2.165398,3.008266,2.991343,2.897542
2025-09-10,34.760000,39.610000,5.518800,2.126725,2.795469,2.847537,2.688898
2025-09-11,34.740000,38.410000,5.570400,2.111104,2.767900,2.778694,2.703183
2025-09-12,34.490000,37.510000,5.606600,2.087912,2.693997,2.829757,2.840439
2025-09-13,34.840000,37.770000,5.491700,1.973470,2.925190,3.030055,2.727618
2025-09-14,34.610000,37.550000,5.724500,2.107630,2.813646,2.902940,2.899470
2025-09-15,34.100000,36.950000,5.703600,2.000871,2.795881,3.019705,2.915675
2025-09-16,34.030000,36.760000,5.390400,2.059856,2.662368,2.793064,2.635374
2025-09-17,34.080000,36.670000,5.493100,1.988799,2.616411,2.864524,2.734093
2025-09-18,34.370000,36.980000,5.683400,2.042760,2.797039,2.995995,2.898511
2025-09-19,33.400000,36.590000,5.928700,2.032683,3.001462,3.216979,3.032945
2025-09-20,33.820000,37.330000,5.824300,2.005553,2.880958,3.131436,2.915359
2025-09-21,34.370000,38.430000,5.484000,2.051882,2.776266,2.929868,2.636571
2025-09-22,33.580000,37.180000,5.362100,2.006075,2.577098,2.893927,2.719668
2025-09-23,33.000000,36.060000,5.484500,2.001474,2.692567,2.981059,2.698425
2025-09-24,33.580000,36.280000,5.665200,2.102155,2.973485,3.092677,2.586078
2025-09-25,32.700000,35.240000,5.745800,2.059772,2.692985,3.173108,2.961504
2025-09-26,32.860000,36.550000,5.889100,1.965502,2.848462,3.326342,3.027553
2025-09-27,33.630000,37.830000,5.609300,2.065077,2.844491,3.171873,2.751733
2025-09-28,33.180000,37.180000,5.691400,2.005997,2.761053,3.289148,2.970013
2025-09-29,33.070000,36.160000,5.529400,1.837962,2.976544,3.340305,2.660282
2025-09-30,33.180000,37.780000,5.156900,1.856768,2.644571,3.122547,2.606655
2025-10-01,32.640000,35.860000,5.642400,1.807721,2.845382,3.402298,2.883840
2025-10-02,32.070000,34.380000,5.626600,1.850512,2.722911,3.420776,2.989003
2025-10-03,32.400000,35.290000,5.509400,1.817563,2.742283,3.360841,2.824208
2025-10-04,32.360000,34.820000,5.554800,1.824718,2.785909,3.436937,2.842015
2025-10-05,31.860000,34.260000,5.668600,1.805528,2.887225,3.572656,2.978979
2025-10-06,31.970000,36.400000,5.575200,1.820866,2.792953,3.498231,2.859773
2025-10-07,31.970000,35.220000,5.215000,1.889601,2.818969,3.202204,2.441571
2025-10-08,32.060000,35.800000,5.256000,1.804020,2.621126,3.268162,2.606549
2025-10-09,32.170000,35.760000,5.281200,1.823891,2.578783,3.343777,2.735020
2025-10-10,32.020000,35.280000,5.301400,1.678448,2.634058,3.445392,2.671349
2025-10-11,31.120000,33.460000,5.250500,1.757547,2.598822,3.413158,2.745785
2025-10-12,31.700000,34.250000,5.119000,1.745871,2.659412,3.331945,2.541874
2025-10-13,31.750000,34.120000,4.641100,1.797518,2.513229,2.978642,2.339475
